entry_name	accession	gene_symbol	msa_file
ADAT3_HUMAN	Q96EY9	ADAT3	ADAT3_HUMAN_b01.a2m
ADA_HUMAN	P00813	ADA	ADA_HUMAN_b01.a2m
ADCY5_HUMAN	O95622	ADCY5	ADCY5_HUMAN_b01.a2m
ADCY6_HUMAN	O43306	ADCY6	ADCY6_HUMAN_b01.a2m
ADDA_HUMAN	P35611	ADD1	ADDA_HUMAN_b01.a2m
ADDG_HUMAN	Q9UEY8	ADD3	ADDG_HUMAN_b03.a2m
ADIPO_HUMAN	Q15848	ADIPOQ	ADIPO_HUMAN_b03.a2m
ADK_HUMAN	P55263	ADK	ADK_HUMAN_b03.a2m
ADPRS_HUMAN	Q9NX46	ADPRS	ADPRS_HUMAN_b03.a2m
ADRO_HUMAN	P22570	FDXR	ADRO_HUMAN_b03.a2m
ADT1_HUMAN	P12235	SLC25A4	ADT1_HUMAN_b03.a2m
AFF4_HUMAN	Q9UHB7	AFF4	AFF4_HUMAN_b01.a2m
AFG2H_HUMAN	NA	NA	AFG2H_HUMAN_b07.a2m
AGAL_HUMAN	P06280	GLA	AGAL_HUMAN_b07.a2m
AGK_HUMAN	Q53H12	AGK	AGK_HUMAN_b03.a2m
AGM1_HUMAN	O95394	PGM3	AGM1_HUMAN_b03.a2m
AGRG1_HUMAN	Q9Y653	ADGRG1	AGRG1_HUMAN_b01.a2m
AGRG6_HUMAN	Q86SQ4	ADGRG6	AGRG6_HUMAN_b03.a2m
AGRP_HUMAN	O00253	AGRP	AGRP_HUMAN_b01.a2m
AHI1_HUMAN	Q8N157	AHI1	AHI1_HUMAN_b03.a2m
AICDA_HUMAN	Q9GZX7	AICDA	AICDA_HUMAN_b03.a2m
AIFM1_HUMAN	O95831	AIFM1	AIFM1_HUMAN_b03.a2m
AINX_HUMAN	Q16352	INA	AINX_HUMAN_b03.a2m
AIPL1_HUMAN	Q9NZN9	AIPL1	AIPL1_HUMAN_b05.a2m
AIP_HUMAN	O00170	AIP	AIP_HUMAN_b03.a2m
AIRE_HUMAN	O43918	AIRE	AIRE_HUMAN_b03.a2m
AK1C2_HUMAN	P52895	AKR1C2	AK1C2_HUMAN_b03.a2m
AKIP_HUMAN	Q9NWT8	AURKAIP1	AKIP_HUMAN_b01.a2m
AL14E_HUMAN	Q8N8R7	ARL14EP	AL14E_HUMAN_b01.a2m
AL3A2_HUMAN	P51648	ALDH3A2	AL3A2_HUMAN_b07.a2m
ALAT2_HUMAN	Q8TD30	GPT2	ALAT2_HUMAN_b03.a2m
ALBU_HUMAN	P02768	ALB	ALBU_HUMAN_b01.a2m
ALDOB_HUMAN	P05062	ALDOB	ALDOB_HUMAN_b03.a2m
ALEX_HUMAN	P84996	GNAS	ALEX_HUMAN_b01.a2m
ALG11_HUMAN	Q2TAA5	ALG11	ALG11_HUMAN_b03.a2m
ALG12_HUMAN	Q9BV10	ALG12	ALG12_HUMAN_b01.a2m
ALG13_HUMAN	Q9NP73	ALG13	ALG13_HUMAN_b03.a2m
ALG14_HUMAN	Q96F25	ALG14	ALG14_HUMAN_b03.a2m
ALG1_HUMAN	Q9BT22	ALG1	ALG1_HUMAN_b01.a2m
ALG3_HUMAN	Q92685	ALG3	ALG3_HUMAN_b03.a2m
ALG6_HUMAN	Q9Y672	ALG6	ALG6_HUMAN_b03.a2m
ALG8_HUMAN	Q9BVK2	ALG8	ALG8_HUMAN_b01.a2m
ALG9_HUMAN	Q9H6U8	ALG9	ALG9_HUMAN_b01.a2m
ALMS1_HUMAN	Q8TCU4	ALMS1	ALMS1_HUMAN_b03.a2m
ALPK1_HUMAN	Q96QP1	ALPK1	ALPK1_HUMAN_b05.a2m
ALPK3_HUMAN	Q96L96	ALPK3	ALPK3_HUMAN_b03.a2m
ALR_HUMAN	P55789	GFER	ALR_HUMAN_b01.a2m
ALS2_HUMAN	Q96Q42	ALS2	ALS2_HUMAN_b05.a2m
ALS_HUMAN	P35858	IGFALS	ALS_HUMAN_b03.a2m
AMACR_HUMAN	Q9UHK6	AMACR	AMACR_HUMAN_b01.a2m
AMELX_HUMAN	Q99217	AMELX	AMELX_HUMAN_b03.a2m
AMHR2_HUMAN	Q16671	AMHR2	AMHR2_HUMAN_b03.a2m
AMMR1_HUMAN	Q9Y4X0	AMMECR1	AMMR1_HUMAN_b01.a2m
AMNLS_HUMAN	Q9BXJ7	AMN	AMNLS_HUMAN_b01.a2m
AMOT_HUMAN	Q4VCS5	AMOT	AMOT_HUMAN_b07.a2m
AMPD1_HUMAN	P23109	AMPD1	AMPD1_HUMAN_b01.a2m
AMPD2_HUMAN	Q01433	AMPD2	AMPD2_HUMAN_b01.a2m
AMPD3_HUMAN	Q01432	AMPD3	AMPD3_HUMAN_b01.a2m
ANAG_HUMAN	P54802	NAGLU	ANAG_HUMAN_b01.a2m
ANC2_HUMAN	Q9UJX6	ANAPC2	ANC2_HUMAN_b01.a2m
