entry_name	accession	gene_symbol	msa_file
C2D1A_HUMAN	Q6P1N0	CC2D1A	C2D1A_HUMAN_b01.a2m
C2D2A_HUMAN	Q9P2K1	CC2D2A	C2D2A_HUMAN_b01.a2m
C560_HUMAN	Q99643	SDHC	C560_HUMAN_b10.a2m
CABP2_HUMAN	Q9NPB3	CABP2	CABP2_HUMAN_b03.a2m
CABP4_HUMAN	P57796	CABP4	CABP4_HUMAN_b03.a2m
CAC1A_HUMAN	O00555	CACNA1A	CAC1A_HUMAN_b07.a2m
CAC1C_HUMAN	Q13936	CACNA1C	CAC1C_HUMAN_b07.a2m
CAC1D_HUMAN	Q01668	CACNA1D	CAC1D_HUMAN_b07.a2m
CAC1E_HUMAN	Q15878	CACNA1E	CAC1E_HUMAN_b07.a2m
CAC1F_HUMAN	O60840	CACNA1F	CAC1F_HUMAN_b07.a2m
CAC1G_HUMAN	O43497	CACNA1G	CAC1G_HUMAN_b03.a2m
CAC1H_HUMAN	O95180	CACNA1H	CAC1H_HUMAN_b10.a2m
CAC1S_HUMAN	Q13698	CACNA1S	CAC1S_HUMAN_b07.a2m
CACB2_HUMAN	Q08289	CACNB2	CACB2_HUMAN_b01.a2m
CACB4_HUMAN	O00305	CACNB4	CACB4_HUMAN_b01.a2m
CACP_HUMAN	P43155	CRAT	CACP_HUMAN_b01.a2m
CAD15_HUMAN	P55291	CDH15	CAD15_HUMAN_b03.a2m
CAD23_HUMAN	Q9H251	CDH23	CAD23_HUMAN_b10.a2m
CADH1_HUMAN	P12830	CDH1	CADH1_HUMAN_b07.a2m
CADH2_HUMAN	P19022	CDH2	CADH2_HUMAN_b03.a2m
CADH3_HUMAN	P22223	CDH3	CADH3_HUMAN_b03.a2m
CADH4_HUMAN	P55283	CDH4	CADH4_HUMAN_b03.a2m
CAF17_HUMAN	Q5T440	IBA57	CAF17_HUMAN_b01.a2m
CAH12_HUMAN	O43570	CA12	CAH12_HUMAN_b03.a2m
CAH1_HUMAN	P00915	CA1	CAH1_HUMAN_b01.a2m
CAH2_HUMAN	P00918	CA2	CAH2_HUMAN_b03.a2m
CAH4_HUMAN	P22748	CA4	CAH4_HUMAN_b01.a2m
CAH5A_HUMAN	P35218	CA5A	CAH5A_HUMAN_b03.a2m
CAH8_HUMAN	P35219	CA8	CAH8_HUMAN_b01.a2m
CAHM1_HUMAN	Q8IU99	CALHM1	CAHM1_HUMAN_b01.a2m
CALD1_HUMAN	Q05682	CALD1	CALD1_HUMAN_b01.a2m
CALM1_HUMAN	P0DP23	CALM1	CALM1_HUMAN_b03.a2m
CALM2_HUMAN	P0DP24	CALM2	CALM2_HUMAN_b03.a2m
CALM3_HUMAN	P0DP25	CALM3	CALM3_HUMAN_b03.a2m
CALR3_HUMAN	Q96L12	CALR3	CALR3_HUMAN_b03.a2m
CAN1_HUMAN	P07384	CAPN1	CAN1_HUMAN_b01.a2m
CAN3_HUMAN	P20807	CAPN3	CAN3_HUMAN_b03.a2m
CAN5_HUMAN	O15484	CAPN5	CAN5_HUMAN_b03.a2m
CANT1_HUMAN	Q8WVQ1	CANT1	CANT1_HUMAN_b03.a2m
CAR11_HUMAN	Q9BXL7	CARD11	CAR11_HUMAN_b03.a2m
CAR14_HUMAN	Q9BXL6	CARD14	CAR14_HUMAN_b03.a2m
CARD9_HUMAN	Q9H257	CARD9	CARD9_HUMAN_b03.a2m
CARL2_HUMAN	Q6F5E8	CARMIL2	CARL2_HUMAN_b03.a2m
CASK_HUMAN	P07498	CSN3	CASK_HUMAN_b01.a2m
CASP8_HUMAN	Q14790	CASP8	CASP8_HUMAN_b01.a2m
CASPA_HUMAN	Q92851	CASP10	CASPA_HUMAN_b01.a2m
CASQ1_HUMAN	P31415	CASQ1	CASQ1_HUMAN_b01.a2m
CASQ2_HUMAN	O14958	CASQ2	CASQ2_HUMAN_b01.a2m
CASR_HUMAN	P41180	CASR	CASR_HUMAN_b01.a2m
CATC_HUMAN	P53634	CTSC	CATC_HUMAN_b01.a2m
CATD_HUMAN	P07339	CTSD	CATD_HUMAN_b03.a2m
CATF_HUMAN	Q9UBX1	CTSF	CATF_HUMAN_b03.a2m
CATK_HUMAN	P43235	CTSK	CATK_HUMAN_b01.a2m
CAV1_HUMAN	Q03135	CAV1	CAV1_HUMAN_b01.a2m
CAV3_HUMAN	P56539	CAV3	CAV3_HUMAN_b03.a2m
CAVN1_HUMAN	Q6NZI2	CAVIN1	CAVN1_HUMAN_b01.a2m
CAZA2_HUMAN	P47755	CAPZA2	CAZA2_HUMAN_b03.a2m
CBG_HUMAN	P08185	SERPINA6	CBG_HUMAN_b03.a2m
CBL_HUMAN	P22681	CBL	CBL_HUMAN_b03.a2m
CBPA1_HUMAN	P15085	CPA1	CBPA1_HUMAN_b03.a2m
CBPA6_HUMAN	Q8N4T0	CPA6	CBPA6_HUMAN_b03.a2m
CBPZ_HUMAN	Q66K79	CPZ	CBPZ_HUMAN_b01.a2m
CBP_HUMAN	Q92793	CREBBP	CBP_HUMAN_b10.a2m
CBS_HUMAN	P35520	CBS	CBS_HUMAN_b03.a2m
CBX2_HUMAN	Q14781	CBX2	CBX2_HUMAN_b03.a2m
CC103_HUMAN	Q8IW40	CCDC103	CC103_HUMAN_b03.a2m
CC114_HUMAN	NA	NA	CC114_HUMAN_b03.a2m
CC115_HUMAN	Q96NT0	CCDC115	CC115_HUMAN_b03.a2m
CC134_HUMAN	Q9H6E4	CCDC134	CC134_HUMAN_b01.a2m
CC14A_HUMAN	Q9UNH5	CDC14A	CC14A_HUMAN_b01.a2m
CC170_HUMAN	Q8IYT3	CCDC170	CC170_HUMAN_b01.a2m
CCBE1_HUMAN	Q6UXH8	CCBE1	CCBE1_HUMAN_b03.a2m
CCD22_HUMAN	O60826	CCDC22	CCD22_HUMAN_b03.a2m
CCD40_HUMAN	Q4G0X9	CCDC40	CCD40_HUMAN_b01.a2m
CCD50_HUMAN	Q8IVM0	CCDC50	CCD50_HUMAN_b01.a2m
CCD78_HUMAN	A2IDD5	CCDC78	CCD78_HUMAN_b03.a2m
CCHL_HUMAN	P53701	HCCS	CCHL_HUMAN_b01.a2m
CCM2_HUMAN	Q9BSQ5	CCM2	CCM2_HUMAN_b01.a2m
CCN6_HUMAN	O95389	CCN6	CCN6_HUMAN_b03.a2m
CCND2_HUMAN	P30279	CCND2	CCND2_HUMAN_b03.a2m
CCNF_HUMAN	P41002	CCNF	CCNF_HUMAN_b03.a2m
CCNO_HUMAN	P22674	CCNO	CCNO_HUMAN_b03.a2m
CD19_HUMAN	P15391	CD19	CD19_HUMAN_b01.a2m
CD27_HUMAN	P26842	CD27	CD27_HUMAN_b01.a2m
CD2AP_HUMAN	Q9Y5K6	CD2AP	CD2AP_HUMAN_b03.a2m
CD36_HUMAN	P16671	CD36	CD36_HUMAN_b03.a2m
CD3E_HUMAN	P07766	CD3E	CD3E_HUMAN_b03.a2m
CD3G_HUMAN	P09693	CD3G	CD3G_HUMAN_b03.a2m
CD3Z_HUMAN	P20963	CD247	CD3Z_HUMAN_b03.a2m
CD40L_HUMAN	P29965	CD40LG	CD40L_HUMAN_b03.a2m
CD4_HUMAN	P01730	CD4	CD4_HUMAN_b03.a2m
CD59_HUMAN	P13987	CD59	CD59_HUMAN_b03.a2m
CD79A_HUMAN	P11912	CD79A	CD79A_HUMAN_b03.a2m
CD79B_HUMAN	P40259	CD79B	CD79B_HUMAN_b03.a2m
CD8A_HUMAN	P01732	CD8A	CD8A_HUMAN_b03.a2m
CDAN1_HUMAN	Q8IWY9	CDAN1	CDAN1_HUMAN_b01.a2m
CDC42_HUMAN	P60953	CDC42	CDC42_HUMAN_b03.a2m
CDC45_HUMAN	O75419	CDC45	CDC45_HUMAN_b01.a2m
CDC73_HUMAN	Q6P1J9	CDC73	CDC73_HUMAN_b01.a2m
CDCA7_HUMAN	Q9BWT1	CDCA7	CDCA7_HUMAN_b01.a2m
CDHR1_HUMAN	Q96JP9	CDHR1	CDHR1_HUMAN_b03.a2m
CDIN1_HUMAN	Q9Y2V0	CDIN1	CDIN1_HUMAN_b07.a2m
CDK13_HUMAN	Q14004	CDK13	CDK13_HUMAN_b07.a2m
CDKL5_HUMAN	O76039	CDKL5	CDKL5_HUMAN_b05.a2m
CDN1B_HUMAN	P46527	CDKN1B	CDN1B_HUMAN_b03.a2m
CDN1C_HUMAN	P49918	CDKN1C	CDN1C_HUMAN_b01.a2m
CDON_HUMAN	Q4KMG0	CDON	CDON_HUMAN_b07.a2m
CDSN_HUMAN	Q15517	CDSN	CDSN_HUMAN_b03.a2m
CDT1_HUMAN	Q9H211	CDT1	CDT1_HUMAN_b03.a2m
CE120_HUMAN	Q8N960	CEP120	CE120_HUMAN_b01.a2m
CE152_HUMAN	O94986	CEP152	CE152_HUMAN_b10.a2m
CE164_HUMAN	Q9UPV0	CEP164	CE164_HUMAN_b03.a2m
CE290_HUMAN	O15078	CEP290	CE290_HUMAN_b05.a2m
CE85L_HUMAN	Q5SZL2	CEP85L	CE85L_HUMAN_b01.a2m
CEA16_HUMAN	Q2WEN9	CEACAM16	CEA16_HUMAN_b03.a2m
CEBPA_HUMAN	P49715	CEBPA	CEBPA_HUMAN_b03.a2m
CEL2A_HUMAN	P08217	CELA2A	CEL2A_HUMAN_b03.a2m
CELF3_HUMAN	Q5SZQ8	CELF3	CELF3_HUMAN_b03.a2m
CELR2_HUMAN	Q9HCU4	CELSR2	CELR2_HUMAN_b10.a2m
CENPE_HUMAN	Q02224	CENPE	CENPE_HUMAN_b07.a2m
CENPJ_HUMAN	Q9HC77	CENPJ	CENPJ_HUMAN_b01.a2m
CEP41_HUMAN	Q9BYV8	CEP41	CEP41_HUMAN_b01.a2m
CEP57_HUMAN	Q86XR8	CEP57	CEP57_HUMAN_b01.a2m
CEP63_HUMAN	Q96MT8	CEP63	CEP63_HUMAN_b01.a2m
CEP76_HUMAN	Q8TAP6	CEP76	CEP76_HUMAN_b03.a2m
CEP78_HUMAN	Q5JTW2	CEP78	CEP78_HUMAN_b03.a2m
CEP83_HUMAN	Q9Y592	CEP83	CEP83_HUMAN_b01.a2m
CEP97_HUMAN	Q8IW35	CEP97	CEP97_HUMAN_b05.a2m
CERKL_HUMAN	Q49MI3	CERKL	CERKL_HUMAN_b01.a2m
CERS1_HUMAN	P27544	CERS1	CERS1_HUMAN_b03.a2m
CERS3_HUMAN	Q8IU89	CERS3	CERS3_HUMAN_b03.a2m
CERT_HUMAN	Q9Y5P4	CERT1	CERT_HUMAN_b03.a2m
CERU_HUMAN	P00450	CP	CERU_HUMAN_b10.a2m
CETP_HUMAN	P11597	CETP	CETP_HUMAN_b01.a2m
CF300_HUMAN	Q9BRQ4	CFAP300	CF300_HUMAN_b03.a2m
CF410_HUMAN	O43822	CFAP410	CF410_HUMAN_b03.a2m
CFA53_HUMAN	Q96M91	CFAP53	CFA53_HUMAN_b01.a2m
CFA91_HUMAN	Q7Z4T9	CFAP91	CFA91_HUMAN_b01.a2m
CFAB_HUMAN	P00751	CFB	CFAB_HUMAN_b03.a2m
CFAI_HUMAN	P05156	CFI	CFAI_HUMAN_b01.a2m
CFTR_HUMAN	P13569	CFTR	CFTR_HUMAN_b05.a2m
CGAT1_HUMAN	Q8TDX6	CSGALNACT1	CGAT1_HUMAN_b01.a2m
CGL_HUMAN	P32929	CTH	CGL_HUMAN_b03.a2m
CH037_HUMAN	NA	NA	CH037_HUMAN_b03.a2m
CH60_HUMAN	P10809	HSPD1	CH60_HUMAN_b03.a2m
CHC10_HUMAN	Q8WYQ3	CHCHD10	CHC10_HUMAN_b03.a2m
CHCH2_HUMAN	Q9Y6H1	CHCHD2	CHCH2_HUMAN_b03.a2m
CHD2_HUMAN	O14647	CHD2	CHD2_HUMAN_b07.a2m
CHD4_HUMAN	Q14839	CHD4	CHD4_HUMAN_b05.a2m
CHD7_HUMAN	Q9P2D1	CHD7	CHD7_HUMAN_b03.a2m
CHD8_HUMAN	Q9HCK8	CHD8	CHD8_HUMAN_b03.a2m
CHIN_HUMAN	P15882	CHN1	CHIN_HUMAN_b03.a2m
CHIP_HUMAN	Q9UNE7	STUB1	CHIP_HUMAN_b03.a2m
CHIT1_HUMAN	Q13231	CHIT1	CHIT1_HUMAN_b03.a2m
CHKB_HUMAN	Q9Y259	CHKB	CHKB_HUMAN_b03.a2m
CHLE_HUMAN	P06276	BCHE	CHLE_HUMAN_b01.a2m
CHM1A_HUMAN	Q9HD42	CHMP1A	CHM1A_HUMAN_b03.a2m
CHM2B_HUMAN	Q9UQN3	CHMP2B	CHM2B_HUMAN_b03.a2m
CHM4B_HUMAN	Q9H444	CHMP4B	CHM4B_HUMAN_b03.a2m
CHSS1_HUMAN	Q86X52	CHSY1	CHSS1_HUMAN_b01.a2m
CHST3_HUMAN	Q7LGC8	CHST3	CHST3_HUMAN_b01.a2m
CHST6_HUMAN	Q9GZX3	CHST6	CHST6_HUMAN_b03.a2m
CHST8_HUMAN	Q9H2A9	CHST8	CHST8_HUMAN_b01.a2m
CHSTE_HUMAN	Q8NCH0	CHST14	CHSTE_HUMAN_b03.a2m
CIA30_HUMAN	Q9Y375	NDUFAF1	CIA30_HUMAN_b01.a2m
CIB2_HUMAN	O75838	CIB2	CIB2_HUMAN_b03.a2m
CIKS_HUMAN	O43734	TRAF3IP2	CIKS_HUMAN_b01.a2m
CISD2_HUMAN	Q8N5K1	CISD2	CISD2_HUMAN_b03.a2m
CITE2_HUMAN	Q99967	CITED2	CITE2_HUMAN_b01.a2m
CKP2L_HUMAN	Q8IYA6	CKAP2L	CKP2L_HUMAN_b01.a2m
CL004_HUMAN	Q9NQ89	C12orf4	CL004_HUMAN_b01.a2m
CL065_HUMAN	NA	NA	CL065_HUMAN_b01.a2m
CLAT_HUMAN	P28329	CHAT	CLAT_HUMAN_b01.a2m
CLCF1_HUMAN	Q9UBD9	CLCF1	CLCF1_HUMAN_b01.a2m
CLCKA_HUMAN	P51800	CLCNKA	CLCKA_HUMAN_b03.a2m
CLCKB_HUMAN	P51801	CLCNKB	CLCKB_HUMAN_b03.a2m
CLCN1_HUMAN	P35523	CLCN1	CLCN1_HUMAN_b10.a2m
CLCN2_HUMAN	P51788	CLCN2	CLCN2_HUMAN_b05.a2m
CLCN4_HUMAN	P51793	CLCN4	CLCN4_HUMAN_b03.a2m
CLCN5_HUMAN	P51795	CLCN5	CLCN5_HUMAN_b03.a2m
CLD10_HUMAN	P78369	CLDN10	CLD10_HUMAN_b03.a2m
CLD14_HUMAN	O95500	CLDN14	CLD14_HUMAN_b03.a2m
CLD16_HUMAN	Q9Y5I7	CLDN16	CLD16_HUMAN_b03.a2m
CLD19_HUMAN	Q8N6F1	CLDN19	CLD19_HUMAN_b03.a2m
CLD2_HUMAN	P57739	CLDN2	CLD2_HUMAN_b03.a2m
CLGN_HUMAN	O14967	CLGN	CLGN_HUMAN_b01.a2m
CLH2_HUMAN	P53675	CLTCL1	CLH2_HUMAN_b01.a2m
CLHC1_HUMAN	Q8NHS4	CLHC1	CLHC1_HUMAN_b01.a2m
CLIC2_HUMAN	O15247	CLIC2	CLIC2_HUMAN_b01.a2m
CLIC4_HUMAN	Q9Y696	CLIC4	CLIC4_HUMAN_b01.a2m
CLIC5_HUMAN	Q9NZA1	CLIC5	CLIC5_HUMAN_b01.a2m
CLMP_HUMAN	Q9H6B4	CLMP	CLMP_HUMAN_b03.a2m
CLN3_HUMAN	Q13286	CLN3	CLN3_HUMAN_b01.a2m
CLN5_HUMAN	O75503	CLN5	CLN5_HUMAN_b01.a2m
CLN6_HUMAN	Q9NWW5	CLN6	CLN6_HUMAN_b01.a2m
CLN8_HUMAN	Q9UBY8	CLN8	CLN8_HUMAN_b01.a2m
CLP1_HUMAN	Q92989	CLP1	CLP1_HUMAN_b01.a2m
CLPP_HUMAN	Q16740	CLPP	CLPP_HUMAN_b03.a2m
CLPX_HUMAN	O76031	CLPX	CLPX_HUMAN_b01.a2m
CLRN1_HUMAN	P58418	CLRN1	CLRN1_HUMAN_b03.a2m
CLUA1_HUMAN	Q96AJ1	CLUAP1	CLUA1_HUMAN_b03.a2m
CMC1_HUMAN	NA	NA	CMC1_HUMAN_b03.a2m
CMC2_HUMAN	NA	NA	CMC2_HUMAN_b03.a2m
CMTA1_HUMAN	Q9Y6Y1	CAMTA1	CMTA1_HUMAN_b03.a2m
CN37_HUMAN	P09543	CNP	CN37_HUMAN_b01.a2m
CND2_HUMAN	Q15003	NCAPH	CND2_HUMAN_b01.a2m
CNGA1_HUMAN	P29973	CNGA1	CNGA1_HUMAN_b03.a2m
CNGA3_HUMAN	Q16281	CNGA3	CNGA3_HUMAN_b05.a2m
CNGB1_HUMAN	Q14028	CNGB1	CNGB1_HUMAN_b03.a2m
CNGB3_HUMAN	Q9NQW8	CNGB3	CNGB3_HUMAN_b03.a2m
CNNM2_HUMAN	Q9H8M5	CNNM2	CNNM2_HUMAN_b01.a2m
CNNM4_HUMAN	Q6P4Q7	CNNM4	CNNM4_HUMAN_b03.a2m
CNOT9_HUMAN	Q92600	CNOT9	CNOT9_HUMAN_b03.a2m
CNPY3_HUMAN	Q9BT09	CNPY3	CNPY3_HUMAN_b01.a2m
CNTP1_HUMAN	P78357	CNTNAP1	CNTP1_HUMAN_b01.a2m
CO1A1_HUMAN	P02452	COL1A1	CO1A1_HUMAN_b10.a2m
CO1A2_HUMAN	P08123	COL1A2	CO1A2_HUMAN_b05.a2m
CO2A1_HUMAN	P02458	COL2A1	CO2A1_HUMAN_b07.a2m
CO2_HUMAN	P06681	C2	CO2_HUMAN_b03.a2m
CO3A1_HUMAN	P02461	COL3A1	CO3A1_HUMAN_b10.a2m
CO3_HUMAN	P01024	C3	CO3_HUMAN_b05.a2m
CO4A1_HUMAN	P02462	COL4A1	CO4A1_HUMAN_b07.a2m
CO4A2_HUMAN	P08572	COL4A2	CO4A2_HUMAN_b05.a2m
CO4A3_HUMAN	Q01955	COL4A3	CO4A3_HUMAN_b07.a2m
CO4A4_HUMAN	P53420	COL4A4	CO4A4_HUMAN_b07.a2m
CO4A5_HUMAN	P29400	COL4A5	CO4A5_HUMAN_b07.a2m
CO5A1_HUMAN	P20908	COL5A1	CO5A1_HUMAN_b07.a2m
CO5A2_HUMAN	P05997	COL5A2	CO5A2_HUMAN_b07.a2m
CO6A1_HUMAN	P12109	COL6A1	CO6A1_HUMAN_b05.a2m
CO6A2_HUMAN	P12110	COL6A2	CO6A2_HUMAN_b01.a2m
CO6A3_HUMAN	P12111	COL6A3	CO6A3_HUMAN_b03.a2m
CO7A1_HUMAN	Q02388	COL7A1	CO7A1_HUMAN_b03.a2m
CO7_HUMAN	P10643	C7	CO7_HUMAN_b01.a2m
CO9_HUMAN	P02748	C9	CO9_HUMAN_b01.a2m
COA3_HUMAN	Q9Y2R0	COA3	COA3_HUMAN_b03.a2m
COA5_HUMAN	Q86WW8	COA5	COA5_HUMAN_b03.a2m
COA6_HUMAN	Q5JTJ3	COA6	COA6_HUMAN_b01.a2m
COA7_HUMAN	Q96BR5	COA7	COA7_HUMAN_b03.a2m
COA8_HUMAN	Q96IL0	COA8	COA8_HUMAN_b03.a2m
COAA1_HUMAN	Q03692	COL10A1	COAA1_HUMAN_b07.a2m
COASY_HUMAN	Q13057	COASY	COASY_HUMAN_b01.a2m
COBA1_HUMAN	P12107	COL11A1	COBA1_HUMAN_b05.a2m
COBA2_HUMAN	P13942	COL11A2	COBA2_HUMAN_b07.a2m
COCA1_HUMAN	Q99715	COL12A1	COCA1_HUMAN_b01.a2m
COCH_HUMAN	O43405	COCH	COCH_HUMAN_b03.a2m
COE3_HUMAN	Q9H4W6	EBF3	COE3_HUMAN_b01.a2m
COF2_HUMAN	Q9Y281	CFL2	COF2_HUMAN_b03.a2m
COG1_HUMAN	Q8WTW3	COG1	COG1_HUMAN_b03.a2m
COG2_HUMAN	Q14746	COG2	COG2_HUMAN_b01.a2m
COG4_HUMAN	Q9H9E3	COG4	COG4_HUMAN_b01.a2m
COG5_HUMAN	Q9UP83	COG5	COG5_HUMAN_b01.a2m
COG6_HUMAN	Q9Y2V7	COG6	COG6_HUMAN_b01.a2m
COG7_HUMAN	P83436	COG7	COG7_HUMAN_b01.a2m
COG8_HUMAN	Q96MW5	COG8	COG8_HUMAN_b03.a2m
COHA1_HUMAN	Q9UMD9	COL17A1	COHA1_HUMAN_b07.a2m
COIA1_HUMAN	P39060	COL18A1	COIA1_HUMAN_b07.a2m
COL10_HUMAN	Q9Y6Z7	COLEC10	COL10_HUMAN_b03.a2m
COL11_HUMAN	Q9BWP8	COLEC11	COL11_HUMAN_b03.a2m
COLI_HUMAN	P01189	POMC	COLI_HUMAN_b01.a2m
COLQ_HUMAN	Q9Y215	COLQ	COLQ_HUMAN_b03.a2m
COMP_HUMAN	P49747	COMP	COMP_HUMAN_b01.a2m
COPA1_HUMAN	Q9BXS0	COL25A1	COPA1_HUMAN_b03.a2m
COPA_HUMAN	P53621	COPA	COPA_HUMAN_b05.a2m
COQ2_HUMAN	Q96H96	COQ2	COQ2_HUMAN_b03.a2m
COQ4_HUMAN	Q9Y3A0	COQ4	COQ4_HUMAN_b03.a2m
COQ6_HUMAN	Q9Y2Z9	COQ6	COQ6_HUMAN_b03.a2m
COQ7_HUMAN	Q99807	COQ7	COQ7_HUMAN_b01.a2m
COQ8A_HUMAN	Q8NI60	COQ8A	COQ8A_HUMAN_b01.a2m
COQ8B_HUMAN	Q96D53	COQ8B	COQ8B_HUMAN_b03.a2m
COQ9_HUMAN	O75208	COQ9	COQ9_HUMAN_b03.a2m
COR1A_HUMAN	P31146	CORO1A	COR1A_HUMAN_b03.a2m
CORA1_HUMAN	Q8IZC6	COL27A1	CORA1_HUMAN_b05.a2m
COT1_HUMAN	P10589	NR2F1	COT1_HUMAN_b03.a2m
COT2_HUMAN	P24468	NR2F2	COT2_HUMAN_b03.a2m
COX10_HUMAN	Q12887	COX10	COX10_HUMAN_b01.a2m
COX14_HUMAN	Q96I36	COX14	COX14_HUMAN_b03.a2m
COX15_HUMAN	Q7KZN9	COX15	COX15_HUMAN_b03.a2m
COX20_HUMAN	Q5RI15	COX20	COX20_HUMAN_b03.a2m
COX41_HUMAN	P13073	COX4I1	COX41_HUMAN_b03.a2m
CP19A_HUMAN	P11511	CYP19A1	CP19A_HUMAN_b03.a2m
CP21A_HUMAN	P08686	CYP21A2	CP21A_HUMAN_b07.a2m
CP27B_HUMAN	O15528	CYP27B1	CP27B_HUMAN_b03.a2m
CP7A1_HUMAN	P22680	CYP7A1	CP7A1_HUMAN_b03.a2m
CP7B1_HUMAN	O75881	CYP7B1	CP7B1_HUMAN_b03.a2m
CPLN1_HUMAN	Q9H799	CPLANE1	CPLN1_HUMAN_b01.a2m
CPSM_HUMAN	P31327	CPS1	CPSM_HUMAN_b03.a2m
CPT1A_HUMAN	P50416	CPT1A	CPT1A_HUMAN_b01.a2m
CPT1C_HUMAN	Q8TCG5	CPT1C	CPT1C_HUMAN_b01.a2m
CPT2_HUMAN	P23786	CPT2	CPT2_HUMAN_b03.a2m
CR3L3_HUMAN	Q68CJ9	CREB3L3	CR3L3_HUMAN_b01.a2m
CRADD_HUMAN	P78560	CRADD	CRADD_HUMAN_b03.a2m
CRBA4_HUMAN	P53673	CRYBA4	CRBA4_HUMAN_b03.a2m
CRBB1_HUMAN	P53674	CRYBB1	CRBB1_HUMAN_b03.a2m
CRBB2_HUMAN	P43320	CRYBB2	CRBB2_HUMAN_b01.a2m
CRBB3_HUMAN	P26998	CRYBB3	CRBB3_HUMAN_b03.a2m
CRBN_HUMAN	Q96SW2	CRBN	CRBN_HUMAN_b01.a2m
CRCM1_HUMAN	Q96D31	ORAI1	CRCM1_HUMAN_b03.a2m
CRCM_HUMAN	P23508	MCC	CRCM_HUMAN_b01.a2m
CRDL1_HUMAN	Q9BU40	CHRDL1	CRDL1_HUMAN_b01.a2m
CREL1_HUMAN	Q96HD1	CRELD1	CREL1_HUMAN_b03.a2m
CRGA_HUMAN	P11844	CRYGA	CRGA_HUMAN_b03.a2m
CRGC_HUMAN	P07315	CRYGC	CRGC_HUMAN_b01.a2m
CRGD_HUMAN	P07320	CRYGD	CRGD_HUMAN_b03.a2m
CRIPT_HUMAN	Q9P021	CRIPT	CRIPT_HUMAN_b03.a2m
CRLF1_HUMAN	O75462	CRLF1	CRLF1_HUMAN_b03.a2m
CRLF2_HUMAN	Q9HC73	CRLF2	CRLF2_HUMAN_b03.a2m
CRTAP_HUMAN	O75718	CRTAP	CRTAP_HUMAN_b01.a2m
CRUM1_HUMAN	P82279	CRB1	CRUM1_HUMAN_b07.a2m
CRUM2_HUMAN	Q5IJ48	CRB2	CRUM2_HUMAN_b10.a2m
CRX_HUMAN	O43186	CRX	CRX_HUMAN_b07.a2m
CRYA2_HUMAN	NA	NA	CRYA2_HUMAN_b01.a2m
CRYAA_HUMAN	P02489	CRYAA	CRYAA_HUMAN_b03.a2m
CRYAB_HUMAN	P02511	CRYAB	CRYAB_HUMAN_b03.a2m
CRYGS_HUMAN	P22914	CRYGS	CRYGS_HUMAN_b03.a2m
CRYM_HUMAN	Q14894	CRYM	CRYM_HUMAN_b03.a2m
CS012_HUMAN	Q9NSK7	C19orf12	CS012_HUMAN_b03.a2m
CSCL1_HUMAN	O94886	TMEM63A	CSCL1_HUMAN_b01.a2m
CSF1R_HUMAN	P07333	CSF1R	CSF1R_HUMAN_b07.a2m
CSF2R_HUMAN	P15509	CSF2RA	CSF2R_HUMAN_b03.a2m
CSF3R_HUMAN	Q99062	CSF3R	CSF3R_HUMAN_b03.a2m
CSK2B_HUMAN	P67870	CSNK2B	CSK2B_HUMAN_b01.a2m
CSKP_HUMAN	O14936	CASK	CSKP_HUMAN_b03.a2m
CSRP3_HUMAN	P50461	CSRP3	CSRP3_HUMAN_b03.a2m
CTBP1_HUMAN	Q13363	CTBP1	CTBP1_HUMAN_b03.a2m
CTC1_HUMAN	Q2NKJ3	CTC1	CTC1_HUMAN_b01.a2m
CTF1_HUMAN	Q16619	CTF1	CTF1_HUMAN_b01.a2m
CTHR1_HUMAN	Q96CG8	CTHRC1	CTHR1_HUMAN_b03.a2m
CTIP_HUMAN	Q99708	RBBP8	CTIP_HUMAN_b01.a2m
CTL4_HUMAN	Q53GD3	SLC44A4	CTL4_HUMAN_b01.a2m
CTLA4_HUMAN	P16410	CTLA4	CTLA4_HUMAN_b03.a2m
CTNA1_HUMAN	P35221	CTNNA1	CTNA1_HUMAN_b03.a2m
CTNA3_HUMAN	Q9UI47	CTNNA3	CTNA3_HUMAN_b01.a2m
CTNB1_HUMAN	P35222	CTNNB1	CTNB1_HUMAN_b01.a2m
CTND2_HUMAN	Q9UQB3	CTNND2	CTND2_HUMAN_b07.a2m
CTNS_HUMAN	O60931	CTNS	CTNS_HUMAN_b01.a2m
CTR3_HUMAN	Q8WY07	SLC7A3	CTR3_HUMAN_b03.a2m
CTRC_HUMAN	Q99895	CTRC	CTRC_HUMAN_b03.a2m
CTRO_HUMAN	O14578	CIT	CTRO_HUMAN_b03.a2m
CTU2_HUMAN	Q2VPK5	CTU2	CTU2_HUMAN_b03.a2m
CUBN_HUMAN	O60494	CUBN	CUBN_HUMAN_b01.a2m
CUL3_HUMAN	Q13618	CUL3	CUL3_HUMAN_b03.a2m
CUL4B_HUMAN	Q13620	CUL4B	CUL4B_HUMAN_b07.a2m
CUL7_HUMAN	Q14999	CUL7	CUL7_HUMAN_b03.a2m
CUX2_HUMAN	O14529	CUX2	CUX2_HUMAN_b07.a2m
CX6A2_HUMAN	Q02221	COX6A2	CX6A2_HUMAN_b03.a2m
CX6B1_HUMAN	P14854	COX6B1	CX6B1_HUMAN_b01.a2m
CXA1_HUMAN	P17302	GJA1	CXA1_HUMAN_b03.a2m
