id	filename	md5	size	state
6a052578-ac0b-40a3-aa70-80a9ab4540cf	60bdecd2-bd6f-4e64-a096-798dd3d5d945_wxs_gdc_realn.bam	ec9967bfb066738831fa08110975df13	55282630506	released
4501f315-bf8f-4611-821a-797ef180e25b	f6924a26-a14f-45a3-b4bd-7a4592d34065_gdc_realn.bam	e41bf35e915511a629b0ab1240aa9d61	40349955110	released
794e4ba8-ea79-4fc4-b80d-b911e017d7d0	a1e4e390-bc4b-4cfa-9c0d-8070c50822d2_wxs_gdc_realn.bam	51754a0cb016006420aca5583b85c4e3	45083741987	released
8cc90cf4-2598-4a6c-b064-5670df7d2545	2889a82c-e8b3-475e-9285-1e103003debb_gdc_realn.bam	016a7579deccbba0ae9dd615d22e6683	40869302911	released
40f1ab1f-5740-432a-94b2-ea466ec797e3	63327ba1-ba31-4984-81a3-725c0d7b2086_wxs_gdc_realn.bam	0a3631d858cfc95b3b11f6d63d4a45a1	56631971986	released
b5f75ffd-bdff-4255-bd17-74dd003f190e	8fe04429-c7db-4162-aad6-a408b805aa6d_wxs_gdc_realn.bam	71770d7b5395aaa056469dc45ef2ea53	103305046426	released
5fc17a22-c109-4f25-8902-a7d9b7642915	0da07c96-e95e-45df-b12f-8c745696f271_gdc_realn.bam	9c25d99b8282fc8ad1eb26a8508d5c23	32954610799	released
4a89b7c5-1ee4-44d8-88b8-2d56d7e848f4	6961ae42-bba0-4ef9-826d-13a2c00f863b_wxs_gdc_realn.bam	70ab102a7eba690cbe16c3c53a0dbd91	39013840060	released
aabae279-c40a-4c09-92bc-e2f9d662eed7	24d1cc36-8239-4162-a2c2-6448607a4620_gdc_realn.bam	7e832cb3b960c4cfc097244f4aa28d8c	34448653810	released
a68482ba-c3df-48e7-80a9-b647285738e0	18e6a6e7-b473-42cb-adb5-e8745643eca7_gdc_realn.bam	b576197f6fc3304a2c27e76ec1c39fb4	40124524024	released
01c91555-2c8b-462a-9814-236ea632e22f	c5a3c455-b1f3-4125-a6f5-401385ab2720_gdc_realn.bam	a7c494fad70fb0ca406291eaca330976	33390644310	released
1bcb4996-7610-4417-b648-bd9c7a34427e	5e34b40b-83f7-4eb1-b42e-ffde801a6a4c_wxs_gdc_realn.bam	23bf88201fad4be34640708442b749f9	52639862514	released
367e1821-44cf-467e-a85a-acf580a60959	1e8747dc-15dd-4c9c-a3aa-710a61988f6a_gdc_realn.bam	c714bf6733f9e8a3dfa7cd4649657453	50288879480	released
82953c89-ef19-4068-9569-4a08170279ae	050920fd-6b40-490c-ac47-3f716cf5bac8_wxs_gdc_realn.bam	486c08dd0a102de2a5df81d898dde3d0	52209162917	released
114678a6-bb63-4c25-b546-1b595c70b199	e0e4eca2-5f90-4ae4-924f-4e5548af49b1_gdc_realn.bam	ebc4c7aefeae6b8a34dfab9a56f08e03	42441934601	released
b723ccbb-b596-41fb-b66a-c9162570c47b	c36837e7-a86b-4c6e-a7c0-e2315113b895_wxs_gdc_realn.bam	c5b207197f6ba061fc211c454fad597e	43238144672	released
b44bbc36-16b3-431f-878e-c2f9110f580e	791db96f-984d-4482-bd0c-5691bef0b600_gdc_realn.bam	4e259305ca44fa2744ff67393ecabcb2	39847331806	released
17cf226b-45ff-41dc-b4c0-fc0604922886	3990afc0-9acf-48ba-aa21-633574e6e9ad_wxs_gdc_realn.bam	cf5a41e3cbc8ac70884880b69aef909a	34533234282	released
64daa7de-55e4-4e5c-8844-6e834137bc83	89bd375b-f0de-4c53-bc3a-0857dd2a02ba_gdc_realn.bam	92f3a4cae9c0942745db7cddda214a4c	38881407155	released
c472c8ca-7039-47a3-9c0b-cdfd52e24658	9cb5b887-76b0-4202-8db8-b144665dc0e9_wxs_gdc_realn.bam	b6d0eeac3b94d343f2d8debf828fd157	75973237529	released
9d384af7-2bd0-4cc2-bdb0-e982c3c9a7e6	26de720a-1e1d-42bc-ad0d-db5c3608e135_gdc_realn.bam	539bd9c043c2a0c974ef2268cdf40d6e	37851171228	released
d96f32f9-dd16-40de-b0bc-57996f25b99c	f69943e2-7588-45ab-99ac-48cba7813919_wxs_gdc_realn.bam	0603b8789840e093cf87decfe08ef6c2	79964414419	released
fc6acfc5-97f2-405f-9fb7-7f1b6c1dce00	d36cf415-f716-4e50-a949-a06459cd5277_wxs_gdc_realn.bam	c1e862119e35fa33149230c7cd84e4ad	56263243160	released
780aabc7-c22a-4239-b14b-9146f0a36549	80eecb4d-bf1d-43a1-886e-8956ecdc3ff2_wxs_gdc_realn.bam	12a045acea09b5ed3204c810e605b743	69626016273	released
e4e743cb-4e2d-4ef3-92e9-b6f538ded0c9	945dbda3-ac53-448a-abd8-96ebc5c55b48_gdc_realn.bam	97b8b598ebabcdb4c813e6f6216798c1	52210107073	released
bdde9d09-6a54-46d9-985b-aaf95799f6f9	40c0a0d3-bdfd-4fa1-9aaa-9e8c747cc53c_gdc_realn.bam	543c8fedcd3601de1e5cd560bc3889c8	46886822297	released
0c0313ce-2eb6-4ef7-b0d1-bd56323aba09	65540895-ccaa-40a2-ae4d-912f37356c1a_wxs_gdc_realn.bam	79ca94d30b9fd7076a71b895d63ea641	43647007086	released
b6c8e44f-c2d4-4353-b4a2-8859e573da0b	a9ccc7bf-8b4f-43bb-90ce-d943ea5bac6e_gdc_realn.bam	41c6c721ba2375ad9be5de4fc2c05980	30611297837	released
f5f667d2-69bd-4d09-a03a-3cc9932bfcea	f0c8f826-d8fd-4c98-9717-6cca974055dc_gdc_realn.bam	4b6d9dfe1ab977291dec24dad699160b	34897668803	released
673f8519-8dac-477f-917b-6f80a0f2c271	a8887a87-88db-47e9-9f1a-c49f75ac8d6a_wxs_gdc_realn.bam	88d4cab34854e682f48a153aaf984972	41569850743	released
24d0c8fa-2bb4-465b-96f7-680566a44c2f	6b8b5928-258f-4f93-9e52-516db4562c2d_gdc_realn.bam	c3668448ad3b67eff00c2464e058fd9a	46556851624	released
799c73ad-e7de-45e6-9548-ac30072150e7	ed2b6a93-896d-4fc9-8e2b-00821b00fe58_gdc_realn.bam	afc0484254a5e867617c3adb2277c870	26988961538	released
fc36eee8-07a4-4ff9-9a4c-5dab053b833b	6fdfe226-a6b6-4836-a287-4b8b6e167e07_gdc_realn.bam	071ef060fcefb327618657e1def9d278	53922266720	released
fb433f9d-bb8a-41e3-a5a0-997b16abd0fe	41bf607b-596b-4c43-9cd5-f245cf6e15fe_gdc_realn.bam	134a64d26b0b48f7e6af2e99f5babca7	53476418428	released
0e90cce2-5f92-42fb-a908-20009bbcd4a0	abd00977-e5b2-4ea2-9840-a0cbcc03e13c_gdc_realn.bam	56175fd4e6b5a28ec258a1b64e3c6168	40943771958	released
6e57dae7-55b5-4149-95af-c8880402d7a5	48b8f26b-8c03-4bd1-b2b2-faa3bb812572_wxs_gdc_realn.bam	88ec37e59c90cdcf136a0646b08e6b07	56319375807	released
86049840-8897-4861-9659-15ccdef9f2b2	abe6c89c-34ab-4037-800a-e638f9dca8f5_gdc_realn.bam	524c364176dcc9ceddd7265fd547b427	42305483169	released
bda0039c-16cd-49a8-82de-43a50339a47d	0a402562-24c6-4a9f-af18-9c5ac968f866_wxs_gdc_realn.bam	c62a7aaa4560f982ab828e342310d338	38846497772	released
d04199b0-57db-4f6d-9445-9f0128adbb1e	11addf54-be1c-4ab9-9aab-ddcd9708392b_wxs_gdc_realn.bam	d2fcd9748265d4828274e86d39bec0e5	48912416010	released
c50c5bcd-3801-4fd5-b0df-b3a834542d18	b6b85465-cb0b-4539-9e85-639a6fe66086_gdc_realn.bam	da1330a496bb723b21d9889fca230a22	33078996768	released
ca79e6ba-8198-4193-9670-6fa669fe2751	c2d3b52e-1e55-4d90-9dba-1b608de38b9b_wxs_gdc_realn.bam	eb9a49cdef33dc196b3444e8385d7b5e	41100600616	released
cece60fc-811e-4d03-9f7e-731f0b80212f	e6e1c2a6-27c3-4d55-87ed-6cd0ab0fd6b6_gdc_realn.bam	00d62ec2cee0878bdc28a571fd1bb609	36423305103	released
15474b0b-f26e-4516-80ec-aca7986d8282	8c244af7-4d0a-447d-8da2-af9d147718aa_gdc_realn.bam	6f59c1ec246dbd1efba12188196e39a1	36892920165	released
15b5f6c6-6f94-43c2-951c-72df48f24ee2	ea49ecce-a8c3-410f-987b-07364fee8b18_gdc_realn.bam	637adcf4e1eeb0d7b66cd92ee0cbf338	31448310154	released
a2c16597-0c0a-4069-8386-d055bd2ad43d	8e464f1c-a960-4810-a984-75d62f2086e8_wxs_gdc_realn.bam	ff1f111a595f02ec5cd57904d369f9f4	33747938560	released
f9bf7283-eb23-477d-bc36-b928c96ff1f2	ef798c59-f595-45b8-960e-6b36c8169fb9_gdc_realn.bam	cc3abfb0ba9d096359e5eb382e58c3c9	33283872888	released
a8abf789-a228-4661-acba-b876daf59b53	46ef162e-6ea4-45a1-adac-24b1615c7c8a_wxs_gdc_realn.bam	6927db17f167636da3a5a10345164697	64522643308	released
cc0c9dac-72a5-4219-87bb-db8bbcba19b7	3656044a-0cdc-4745-8b5b-e7e2f65387a4_gdc_realn.bam	6f82817b778f9aea715ccbd7a8856769	77006977130	released
d89c8782-bb0f-4521-95f6-3131321a9cbc	c7dd538d-a66e-4698-8f58-d5c2f6863d0c_wxs_gdc_realn.bam	97e57b75aac6ac05cddea632d926b157	37935575374	released
5b6d0cc0-46f2-496c-8d5c-30b5a712ceaa	58cdfc92-0d6b-46b3-94dd-28f1a5a247dd_wxs_gdc_realn.bam	c42b16534537e0a6200d02f457466995	76363859370	released
05abe915-a00c-43a7-bb15-3cb854536aac	8cf9a884-3e61-443f-8784-17e365f879cd_wxs_gdc_realn.bam	12ca7b694fe5313b3633a21b03139fd8	31109924748	released
4a9f8a4a-599a-4584-8a3f-172e1e4f4f4d	1b9f819b-a488-4f4d-8b10-cd30e4ada90c_gdc_realn.bam	16dc7885f18a7f8be77af21316a3582d	31097433856	released
e297322a-2b1a-4610-a5d7-bb31fffd07bc	cc81280d-f906-4e45-a988-000aeb16fcdf_gdc_realn.bam	7836abe46932cf5b89f0cf010abad428	46023406543	released
0fc758f7-93a6-40f6-a12a-1fa472439af0	5d5bbdb1-74e4-4f1d-a025-df1959b77aa1_gdc_realn.bam	34ba83eefe360258ad925e44eb03138e	34758091873	released
b86f23ec-d40a-46e3-af36-f0529449ea22	fded09b0-7908-4f9f-9f43-b3e8833bf39e_gdc_realn.bam	52fb45fe60b3f2a2b7cf4840444c77a5	33672976359	released
f7962626-53e9-42fa-b713-16f5ff08febe	276865e9-3b98-4544-bc48-f3dba290537c_wxs_gdc_realn.bam	b9f14874c07b711966ae0917880b2cdf	40661049193	released
f725603f-013e-49ec-821e-bf3e38858aa2	9cc4a810-0c4e-4b3e-a95c-bc041d77d81d_gdc_realn.bam	34b2a7942030fa9c13c1f794894b4b6d	37418463633	released
b9f0018b-bfa8-4395-9459-f7adc1fe7cc3	6acbde3c-8e88-4c38-85d5-8868552a6441_gdc_realn.bam	47ab62f38071db31a4382b8b047a869a	43394411617	released
9fd1fb54-1e8c-4f0f-93cf-db2c72a20ec1	53031bb7-6216-4ea9-a7fd-86390fb1af88_wxs_gdc_realn.bam	a7824b3ba207e224cc442408fee04fa0	112778121060	released
da894189-0a3e-4a36-8468-19941f32136a	c71f1be9-860c-4cb3-9215-a1a8e78355da_gdc_realn.bam	f0d1c7a5c2ff2055c36142e1eddb9d59	73052393176	released
5f972828-11c0-481f-9bfa-eba23fd59e81	5b2ddfa2-94c5-4401-82cc-0234f40efbd8_wxs_gdc_realn.bam	f3837f40b50bfa47f53c6845871f796f	37163130194	released
c83272c0-2512-416f-8d44-3b280bd3e8b8	d974bcf0-cacc-4d3c-9ad7-c3851c1e2cb1_gdc_realn.bam	bed6bd356718c9bf3b9e14e46ba79d96	52184801332	released
c6774ea8-e4d7-443d-923b-f128be2ca46f	59fb1c78-43fc-40d8-bdb5-4722c0670842_wxs_gdc_realn.bam	ab01834f008e7dfde505b108f2388681	66944844275	released
fb5de978-c7e1-4cf9-b900-71bfed890af5	2eb1196d-5e6d-4223-953c-d558c75a8c2e_gdc_realn.bam	280f27720c5c8f500105c360b48e1999	37339559252	released
b96b1dd9-08c3-4efb-9f24-9e725a2a9bf4	a7108f05-c999-4aee-99a4-0412405cba81_gdc_realn.bam	dd4580b00cb8dd95c29da0e56bdde0e3	36945178660	released
5ecc82de-4ccb-4c37-a3f4-dd908d9353bd	3f5476f7-fc0c-4455-a55d-6ffc6a4e02b5_wxs_gdc_realn.bam	6e8b8907d3cd158585f79deb10f9f5ae	44521519512	released
7e072ad2-a712-43f6-a8c5-719bb7b211f6	1f6d1b3a-55c4-4ddc-87f7-50506630f70b_wxs_gdc_realn.bam	7f1b23621108fe6d76867354e0c29130	31152139432	released
c87b2dc4-2784-4a10-a51b-0899c45065d4	b757f6ca-1d53-48a2-bed1-a00e289f178d_wxs_gdc_realn.bam	d248dfc8e437a98efe06e22be160f0bb	61241036030	released
bd81f716-dc87-41b3-ae23-d9fa25c37a30	f14f7aeb-9755-4228-9d3a-8d6404e4b3a6_wxs_gdc_realn.bam	97b9d25496f3c735c82ab15eb791f297	28702238233	released
b5ae8787-6022-4462-9451-bc8395c1d1f4	0637f25d-c54f-4f85-b3b5-4fcb7f1d2598_wxs_gdc_realn.bam	3659cfcc5a049864a32f81f7e3b2589c	48630644987	released
191ab7f2-92dc-450a-8860-7510e5210f53	d2779a54-6282-4c22-a689-d752fbdc3b21_gdc_realn.bam	2db57b5fdd009e6e1687cd83dba3c201	34835997820	released
2a2e8292-90a0-494b-af3c-6b78153e25a1	1468d8d0-c4b4-4c00-b057-97b8d19a4bd8_wxs_gdc_realn.bam	415842ee3ab78315aef99a8828232a5a	54298231140	released
c71d112f-c054-4d0d-9081-9d9e664f18ee	3dbbf0d2-e67d-4401-8199-a2377fac5565_wxs_gdc_realn.bam	d9db4b25ca6d08cd5f1cdc19dd5c2b39	32275079728	released
85024923-5694-4461-81a3-100f9a44db27	72483032-4ef4-40ef-b2f9-64a56252e57d_gdc_realn.bam	7a88c058d9a5e90f4a2f541c8392e531	51264266651	released
efaeff8a-b42e-49fa-8f89-a847b4cb67d5	207dfc06-0684-4fb5-b41e-b086e29ed031_wxs_gdc_realn.bam	1978074bb8fdba88da9e4a8b0bc1ecb8	33144843450	released
e754a0d2-732e-4e28-88f8-6028d778f89c	eb9967de-974e-4c8b-b16c-4da0dd47f3ed_wxs_gdc_realn.bam	0b047ea689bde123f431787132f65e2d	46333355955	released
2d63999a-b9eb-4a93-8f09-bb3df487f938	b95aa1d8-289e-4fb5-8a7c-362ab610d931_gdc_realn.bam	31cff4b066215643b9fe55e7dee28b39	49483675931	released
aa4ff124-2936-406e-bc5d-f74f82104810	4f72a152-448d-4036-8ddb-a12576e7689c_wxs_gdc_realn.bam	c64592fcf86452b9e5ccca30c6c81e65	47035802866	released
8aa9a5f4-4769-4f4e-8e32-d7d1f634d01b	b83ac703-865f-4ab2-bc70-64b2aa2b0dc3_wxs_gdc_realn.bam	c84d47c7e5939815b822fc64d561b874	68337491521	released
8cf50c93-9dec-4515-82a7-1959f8e7f312	c14109ad-a867-4f58-9e70-a7575597416a_gdc_realn.bam	0df2e79d2802f099b337105363144c74	36358025676	released
3992451b-f2a3-41cb-8a4f-8134032c777b	6e12c1b5-5971-498b-b545-11e58f92afb9_wxs_gdc_realn.bam	521bcc44220e60b2d462a698e24ec56d	42402953802	released
